"","City2","State2","savings","hpigap","Pop","Location"
"219","Milwaukee-Waukesha","WI",0.285250409658734,83.9266666666666,279,"Milwaukee-Waukesha, WI"
"220","Minneapolis-St. Paul-Bloomington","MN",0.0664709511125709,25.695,513,"Minneapolis-St. Paul-Bloomington, MN"
"221","Missoula","MT",0.11218026192905,42.491,470,"Missoula, MT"
"222","Mobile","AL",0.282169178454118,71.4555,53,"Mobile, AL"
"223","Monroe","LA",0.132591072689966,43.395,11,"Monroe, LA"
"224","Monroe","MI",0.375308158481464,98.685,22,"Monroe, MI"
"225","Montgomery","AL",0.3659062919004,87.2491666666667,318,"Montgomery, AL"
"226","MorganTown","WV",0.261004986156056,73.42125,119,"MorganTown, WV"
"227","MorrisTown","TN",0.373973577701981,107.61375,75,"MorrisTown, TN"
"228","Mount Vernon-Anacortes","WA",0.13813557844233,47.8048333333333,261,"Mount Vernon-Anacortes, WA"
"229","Muncie","IN",0.298714716192116,60.7175,14,"Muncie, IN"
"230","Muskegon","MI",0.303858629557062,79.6358333333333,22,"Muskegon, MI"
"231","Myrtle Beach-Conway-North Myrtle Beach","SC",0.224103742407827,62.2483333333333,304,"Myrtle Beach-Conway-North Myrtle Beach, SC"
"232","Naples-Marco Island","FL",0.104697498544741,42.2975,321,"Naples-Marco Island, FL"
"233","Nashville-Davidson--Murfreesboro--Franklin","TN",0.125791662679347,48.20725,2621,"Nashville-Davidson--Murfreesboro--Franklin, TN"
"234","New Bern","NC",0.435478686191476,132.42775,502,"New Bern, NC"
"235","New Haven-Milford","CT",0.374668495300332,118.0140625,174,"New Haven-Milford, CT"
"236","New Orleans-Metairie","LA",0.152592254683367,45.8705555555556,418,"New Orleans-Metairie, LA"
"237","New York-Newark-Jersey City","NY",-0.190487314355446,-34.158,233,"New York-Newark-Jersey City, NY"
"238","Niles","MI",0.345590683001307,108.039,138,"Niles, MI"
"239","North Port-Sarasota-Bradenton","FL",0.119172422897473,40.21525,1003,"North Port-Sarasota-Bradenton, FL"
"240","Norwich-New London","CT",0.317249264847075,98.028,137,"Norwich-New London, CT"
"241","Ocala","FL",0.330563174448806,100.771071428571,290,"Ocala, FL"
"242","Ocean City","NJ",0.0489047574180924,24.6058333333333,358,"Ocean City, NJ"
"243","Odessa","TX",-0.0531807105610048,2.24678571428569,570,"Odessa, TX"
"244","Ogden-Clearfield","UT",0.146091493143599,46.3676923076923,1447,"Ogden-Clearfield, UT"
"245","Oklahoma City","OK",0.220983143899454,66.685,1946,"Oklahoma City, OK"
"246","Olympia-Lacey-Tumwater","WA",0.223627061797063,70.370625,730,"Olympia-Lacey-Tumwater, WA"
"247","Omaha-Council Bluffs","NE",0.314127992224892,91.27475,513,"Omaha-Council Bluffs, NE"
"248","Orlando-Kissimmee-Sanford","FL",0.13134406667255,38.086,827,"Orlando-Kissimmee-Sanford, FL"
"249","Oshkosh-Neenah","WI",0.475580213058189,144.8875,253,"Oshkosh-Neenah, WI"
"250","Palm Bay-Melbourne-Titusville","FL",0.149305731856955,43.0741666666666,1253,"Palm Bay-Melbourne-Titusville, FL"
"251","Panama City","FL",0.176413851925812,58.7891666666667,531,"Panama City, FL"
"252","Parkersburg-Vienna","WV",0.248866579791281,59.24875,32,"Parkersburg-Vienna, WV"
"253","Pensacola-Ferry Pass-Brent","FL",0.22370316027052,64.426,482,"Pensacola-Ferry Pass-Brent, FL"
"254","Peoria","IL",0.318495710836914,90.4853571428572,84,"Peoria, IL"
"255","Philadelphia-Camden-Wilmington","PA",0.101268565102653,39.3103571428571,361,"Philadelphia-Camden-Wilmington, PA"
"256","Phoenix-Mesa-Chandler","AZ",0.0172261432939465,15.3455681818182,22769,"Phoenix-Mesa-Chandler, AZ"
"257","Pine Bluff","AR",0.186131293491609,36.3775,9,"Pine Bluff, AR"
"258","Pittsburgh","PA",0.208757932498772,56.62975,468,"Pittsburgh, PA"
"259","Pittsfield","MA",0.2828460466853,88.159,238,"Pittsfield, MA"
"260","Pocatello","ID",0.252838177724654,72.8059375,170,"Pocatello, ID"
"261","Port St. Lucie","FL",0.260438294057522,87.2282142857143,420,"Port St. Lucie, FL"
"262","Portland-South Portland","ME",0.0974574391065821,38.914375,104,"Portland-South Portland, ME"
"263","Portland-Vancouver-Hillsboro","OR",-0.130601574269027,-18.5196052631579,11012,"Portland-Vancouver-Hillsboro, OR"
"264","Poughkeepsie-Newburgh-MiddleTown","NY",0.241486961770522,65.1408333333333,297,"Poughkeepsie-Newburgh-MiddleTown, NY"
"265","Prescott Valley-Prescott","AZ",0.202272870502355,65.0555769230769,2547,"Prescott Valley-Prescott, AZ"
"266","Providence-Warwick","RI",0.148717653067417,49.5889285714285,961,"Providence-Warwick, RI"
"267","Provo-Orem","UT",0.129497220366067,44.0776470588235,2880,"Provo-Orem, UT"
"268","Pueblo","CO",0.173259012605177,39.06625,54,"Pueblo, CO"
"269","Punta Gorda","FL",0.260325731587574,89.0464285714286,212,"Punta Gorda, FL"
"270","Racine","WI",0.274393064640918,62.94,24,"Racine, WI"
"271","Raleigh-Cary","NC",0.32846175814012,95.495,1393,"Raleigh-Cary, NC"
"272","Rapid City","SD",0.129702286637803,46.4058333333333,458,"Rapid City, SD"
"273","Reading","PA",0.586818529689821,228.1125,26,"Reading, PA"
"274","Reno","NV",0.185756061896413,58.45453125,3270,"Reno, NV"
"275","Richmond","VA",0.246176944747227,78.7604166666667,361,"Richmond, VA"
"276","Roanoke","VA",0.364309558085242,104.8865,194,"Roanoke, VA"
"277","Rochester","MN",0.323676093754776,94.3425,288,"Rochester, MN"
"278","Rochester","NY",0.396288268995435,103.13875,434,"Rochester, NY"
"279","Rockford","IL",0.527464748114218,143.5275,59,"Rockford, IL"
"280","Rocky Mount","NC",0.555546271526713,181.415833333333,64,"Rocky Mount, NC"
